# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
50.00000 0.00000 7092418616.26842 62424290489.06417 0.00000 294749621.97893 -166297225.14642 291933230.47436 0.00000 0.00000 0.00000 
1050.00000 24040820.30261 7068377795.96582 62401649535.75504 0.00000 294749621.97893 0.00000 290533363.48089 0.00000 0.00000 0.00000 
1053.90625 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 0.60207 2905333634.20687 0.00000 0.00000 0.00000 
2053.90625 1684371986.31441 69239814176.36980 630602708456.78357 0.00000 2947496219.78930 1.17239 2905333633.63655 0.00000 0.00000 0.00000 
2054.39453 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 1.71288 2905333633.09606 0.00000 0.00000 0.00000 
3054.39453 1684371986.31441 69239814176.36980 630602708456.72510 0.00000 2947496219.78930 2.22479 2905333632.58415 0.00000 0.00000 0.00000 
3054.88282 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 2.71009 2905333632.09885 0.00000 0.00000 0.00000 
4054.88282 1684371986.31441 69239814176.36980 630602708456.67273 0.00000 2947496219.78930 3.16956 2905333631.63938 0.00000 0.00000 0.00000 
4055.85938 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 3.60644 2905333631.20251 0.00000 0.00000 0.00000 
5055.85938 1667581169.32212 69256604993.36209 630619499273.61914 0.00000 2947496219.78930 4.02006 2905333630.78888 0.00000 0.00000 0.00000 
5056.83594 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4.41264 2905333630.39630 0.00000 0.00000 0.00000 
6056.83594 1667581169.32212 69256604993.36209 630619499273.57703 0.00000 2947496219.78930 4.78417 2905333630.02477 0.00000 0.00000 0.00000 
6057.81250 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 5.13706 2905333629.67188 0.00000 0.00000 0.00000 
7057.81250 1666569813.75868 69257616348.92552 630620510629.10278 0.00000 2947496219.78930 5.47088 2905333629.33806 0.00000 0.00000 0.00000 
7059.76563 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 5.78989 2905333629.01905 0.00000 0.00000 0.00000 
