# t     dt     X_CO      X_C     X_O    X_solidC   	X_Mg      X_Si     X_SiO       X_Mg2SiO4    adap_flag     sat_Cg    lnsat_Sig
50.00000 1000.00000 0.00000 0.00800 0.09379 0.00000 0.00067 -0.00044 0.00121 0.00000 0 0.00000 -7.04219e+01 
1050.00000 1000.00000 0.00006 0.00797 0.09376 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
1053.90625 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
2053.90625 1000.00000 0.00044 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
2054.39453 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
3054.39453 1000.00000 0.00044 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
3054.88282 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
4054.88282 1000.00000 0.00044 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
4055.85938 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
5055.85938 1000.00000 0.00044 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
5056.83594 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
6056.83594 1000.00000 0.00044 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
6057.81250 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
7057.81250 1000.00000 0.00044 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
7059.76563 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
8059.76563 1000.00000 0.00043 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
8061.71875 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
9061.71875 1000.00000 0.00043 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
9063.67188 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
10063.67188 1000.00000 0.00043 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
10067.57813 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
11067.57813 1000.00000 0.00046 0.00780 0.09474 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
11071.48438 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
12071.48438 1000.00000 0.00048 0.00780 0.09473 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
12079.29688 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
13079.29688 1000.00000 0.00047 0.00780 0.09473 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
13087.10938 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
