# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
50.00000 0.00000 7092418616.26842 62936774813.77840 0.00000 294749621.97893 565.72303 291933230.47436 0.00000 3921977584158.41602 0.00000 0.00000 
1050.00000 24238188.08143 7068180428.18699 62912536625.69698 0.00000 294749621.97893 565.72303 291933230.47436 0.00000 3921977584158.41602 0.00000 0.00000 
1050.06104 0.00000 70924186162.68420 630387043277.45667 0.00000 2947496219.78930 5657.21228 2919332304.76166 0.00000 3921977584158.41602 0.00000 0.00000 
2050.06104 1679310409.89953 69244875752.78468 628707732571.52539 0.00000 2947496219.78930 5361.18057 2919332600.79336 0.00000 3921977584158.41602 0.00000 0.00000 
2050.06867 586564559.08124 70337621603.60297 629800478422.34155 0.00000 2947496219.78930 5361.17844 2919332600.79550 0.00000 3921977584158.41602 0.00000 0.00000 
2050.09919 0.00000 70924186162.68420 631327181250.61389 0.00000 2947496219.78930 5361.16989 2919332600.80405 0.00000 3921977584158.41602 0.00000 0.00000 
3050.09919 1681814876.80110 69242371285.88312 629645366092.88220 0.00000 2947496219.78930 5080.23930 2919332881.73463 0.00000 3921977584158.41602 0.00000 0.00000 
3050.10681 587439341.22773 70336746821.45648 630739741628.45361 0.00000 2947496219.78930 5080.23728 2919332881.73666 0.00000 3921977584158.41602 0.00000 0.00000 
3050.13733 0.00000 70924186162.68420 632268721329.28442 0.00000 2947496219.78930 5080.22916 2919332881.74477 0.00000 3921977584158.41602 0.00000 0.00000 
4050.13733 1684323078.82128 69239863083.86292 630584397983.88525 0.00000 2947496219.78930 4813.65133 2919333148.32261 0.00000 3921977584158.41602 0.00000 0.00000 
4050.15259 382087920.97998 70542098241.70422 631886633141.72278 0.00000 2947496219.78930 4813.64751 2919333148.32643 0.00000 3921977584158.41602 0.00000 0.00000 
4050.21363 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4813.63222 2919333148.34172 0.00000 3921977584158.41602 0.00000 0.00000 
5050.21363 1667581169.32212 69256604993.36209 630619499022.43884 0.00000 2947496219.78930 4562.86562 2919333399.10831 0.00000 3921977584158.41602 0.00000 0.00000 
5050.22888 378290280.07860 70545895882.60561 631908789911.67871 0.00000 2947496219.78930 4562.86201 2919333399.11193 0.00000 3921977584158.41602 0.00000 0.00000 
5050.28992 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4562.84751 2919333399.12643 0.00000 3921977584158.41602 0.00000 0.00000 
6050.28992 1667581169.32212 69256604993.36209 630619499035.53235 0.00000 2947496219.78930 4325.17438 2919333636.79956 0.00000 3921977584158.41602 0.00000 0.00000 
6050.30518 409128568.57808 70515057594.10614 631877951636.27307 0.00000 2947496219.78930 4325.17095 2919333636.80299 0.00000 3921977584158.41602 0.00000 0.00000 
6050.36621 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4325.15721 2919333636.81672 0.00000 3921977584158.41602 0.00000 0.00000 
7050.36621 1666802530.46359 69257383632.22061 630620277686.87500 0.00000 2947496219.78930 4099.96820 2919333862.00574 0.00000 3921977584158.41602 0.00000 0.00000 
7050.39673 152845885.03484 70771340277.64938 632134234332.29724 0.00000 2947496219.78930 4099.96175 2919333862.01219 0.00000 3921977584158.41602 0.00000 0.00000 
7050.64087 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4099.91000 2919333862.06393 0.00000 3921977584158.41602 0.00000 0.00000 
8050.64087 1650611337.24723 69273574825.43698 630636468893.29956 0.00000 2947496219.78930 3887.92927 2919334074.04467 0.00000 3921977584158.41602 0.00000 0.00000 
8050.67139 151361640.99977 70772824521.68445 632135718589.54089 0.00000 2947496219.78930 3887.92315 2919334074.05079 0.00000 3921977584158.41602 0.00000 0.00000 
8050.91553 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 3887.87409 2919334074.09984 0.00000 3921977584158.41602 0.00000 0.00000 
9050.91553 1650611337.24723 69273574825.43698 630636468904.29126 0.00000 2947496219.78930 3686.88501 2919334275.08893 0.00000 3921977584158.41602 0.00000 0.00000 
9050.94605 151361640.99977 70772824521.68445 632135718600.53296 0.00000 2947496219.78930 3686.87921 2919334275.09473 0.00000 3921977584158.41602 0.00000 0.00000 
9051.19019 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 3686.83269 2919334275.14125 0.00000 3921977584158.41602 0.00000 0.00000 
10051.19019 1650611337.24723 69273574825.43698 630636468914.71301 0.00000 2947496219.78930 3496.26531 2919334465.70863 0.00000 3921977584158.41602 0.00000 0.00000 
10051.25122 92531466.03946 76047186640.70534 678690866097.27893 0.00000 3164245420.88760 3753.35662 3134012743.82474 0.00000 3921977584158.41602 0.00000 0.00000 
10052.22779 0.00000 76140312985.73662 678788701097.02039 0.00000 3164270143.11107 3753.18430 3134037230.04220 0.00000 3921977584158.41602 0.00000 0.00000 
11052.22779 1879131190.49186 74270699859.11412 676994422965.71191 0.00000 3164665698.68657 3547.10296 3134429212.84572 0.00000 3921977584158.41602 0.00000 0.00000 
11052.28882 775194234.46757 78803085675.61485 708662882929.50574 0.00000 3307146573.02210 3706.78919 3275548767.75329 0.00000 3921977584158.41602 0.00000 0.00000 
11052.53296 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3706.73750 3275548767.80497 0.00000 3921977584158.41602 0.00000 0.00000 
11552.53296 1017309576.24100 78560970333.84142 708420767697.63416 0.00000 3307146573.02210 3600.77651 3275548873.76597 0.00000 3921977584158.41602 0.00000 0.00000 
11552.65503 2926958.52255 79575352951.55988 709435150315.32751 0.00000 3307146573.02210 3600.75148 3275548873.79100 0.00000 3921977584158.41602 0.00000 0.00000 
11615.15503 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3587.91788 3275548886.62460 0.00000 3921977584158.41602 0.00000 0.00000 
12115.15503 1012867948.99337 78565411961.08905 708425209328.58521 0.00000 3307146573.02210 3485.66024 3275548988.88224 0.00000 3921977584158.41602 0.00000 0.00000 
12115.39917 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3485.61197 3275548988.93050 0.00000 3921977584158.41602 0.00000 0.00000 
12615.39917 1007593789.24590 78570686120.83653 708430483491.59729 0.00000 3307146573.02210 3386.61892 3275549087.92356 0.00000 3921977584158.41602 0.00000 0.00000 
12615.64331 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3386.57206 3275549087.97042 0.00000 3921977584158.41602 0.00000 0.00000 
13115.64331 1006308688.14004 78571971221.94238 708431768595.60474 0.00000 3307146573.02210 3290.48069 3275549184.06179 0.00000 3921977584158.41602 0.00000 0.00000 
13115.88745 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3290.43522 3275549184.10725 0.00000 3921977584158.41602 0.00000 0.00000 
13615.88745 1004566875.52897 78573713034.55345 708433510411.05774 0.00000 3307146573.02210 3197.18571 3275549277.35677 0.00000 3921977584158.41602 0.00000 0.00000 
13616.37574 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3197.09763 3275549277.44485 0.00000 3921977584158.41602 0.00000 0.00000 
14116.37574 999882081.18642 78578397828.89601 708438195208.32800 0.00000 3307146573.02210 3106.77582 3275549367.76666 0.00000 3921977584158.41602 0.00000 0.00000 
14116.86402 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3106.69049 3275549367.85199 0.00000 3921977584158.41602 0.00000 0.00000 
14616.86402 995306267.67984 78582973642.40259 708442771024.65552 0.00000 3307146573.02210 3019.18968 3275549455.35280 0.00000 3921977584158.41602 0.00000 0.00000 
14617.35230 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3019.10677 3275549455.43571 0.00000 3921977584158.41602 0.00000 0.00000 
15617.35230 1990417419.34205 77587862490.74037 707447659790.45435 0.00000 3307146573.02210 2849.06694 3275549625.47554 0.00000 3921977584158.41602 0.00000 0.00000 
15617.59644 1000674356.61827 78577605553.46416 708437402853.13928 0.00000 3307146573.02210 2849.02809 3275549625.51439 0.00000 3921977584158.41602 0.00000 0.00000 
15618.08472 6080408.65895 79572199501.42346 709431996801.02075 0.00000 3307146573.02210 2848.95028 3275549625.59220 0.00000 3921977584158.41602 0.00000 0.00000 
15743.08472 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 2829.00336 3275549645.53912 0.00000 3921977584158.41602 0.00000 0.00000 
16743.08472 1971901392.83583 77606378517.24660 707466175828.64832 0.00000 3307146573.02210 2670.65130 3275549803.89118 0.00000 3921977584158.41602 0.00000 0.00000 
16743.57300 296828332.69820 79281451577.38423 709141248888.71326 0.00000 3307146573.02210 2670.57861 3275549803.96386 0.00000 3921977584158.41602 0.00000 0.00000 
