# t     n_CO      n_C      n_O       n_solidC    n_Mg     n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
4197.25440 0.00000 5200218932.64508 46145754038.49324 0.00000 216112816.73208 0.00092 214048230.39857 0.00000 2875625818217.82178 0.00000 0.00000 
5197.25440 8650434.89000 5191568497.75508 46137103603.60324 0.00000 216112816.73208 0.00092 214048230.39857 0.00000 2875625818217.82178 0.00000 0.00000 
5199.20752 0.00000 4881368554.85992 43429101517.02380 0.00000 202861902.84715 0.00094 200923906.20930 0.00000 2875625818217.82178 0.00000 0.00000 
6199.20752 7599610.90306 4873146189.31275 43415961313.52470 0.00000 202836022.15597 0.03898 200898272.72557 0.00000 2875625818217.82178 0.00000 0.00000 
6201.16065 0.00000 4561895422.43065 40659349073.90426 0.00000 189585108.27105 0.03651 187773948.53880 0.00000 2875625818217.82178 0.00000 0.00000 
7201.16065 6613213.04294 4554659454.74360 40647185361.35268 0.00000 189559227.57987 0.07194 187748315.05768 0.00000 2875625818217.82178 0.00000 0.00000 
7205.06690 0.00000 4242422290.00139 37821072738.09795 0.00000 176308313.69494 0.06704 174623990.87333 0.00000 2875625818217.82178 0.00000 0.00000 
8205.06690 5687322.32357 4235489458.38959 37804281736.31335 0.00000 176256552.31258 0.09987 174572723.94913 0.00000 2875625818217.82178 0.00000 0.00000 
8208.97315 0.00000 3977162414.75658 35456288576.98854 0.00000 165284535.74489 0.09378 163705526.13817 0.00000 2875625818217.82178 0.00000 0.00000 
9208.97315 4972691.40643 3971261759.98006 35443043118.84919 0.00000 165245971.06514 0.12448 163667329.84692 0.00000 2875625818217.82178 0.00000 0.00000 
9216.78565 0.00000 3738675828.64597 33330187518.73036 0.00000 155373413.05087 0.11727 153889087.15467 0.00000 2875625818217.82178 0.00000 0.00000 
10216.78565 4369123.48073 3732450778.42508 33309272861.75115 0.00000 155296283.69138 0.14603 153812694.60482 0.00000 2875625818217.82178 0.00000 0.00000 
10224.59815 0.00000 3499261279.16528 31195813693.70853 0.00000 145423725.67711 0.13696 144034451.91443 0.00000 2875625818217.82178 0.00000 0.00000 
11224.59815 3806967.25983 3493598385.16529 31175461192.94833 0.00000 145346596.31763 0.16381 143958059.36649 0.00000 2875625818217.82178 0.00000 0.00000 
11240.22315 0.00000 3280396829.52548 29244643417.91595 0.00000 136328067.72371 0.15404 135025687.31464 0.00000 2875625818217.82178 0.00000 0.00000 
12240.22315 3325915.61229 3274248927.48161 29216159574.42854 0.00000 136210790.46204 0.17910 134909530.41047 0.00000 2875625818217.82178 0.00000 0.00000 
12255.84815 0.00000 3096967711.47305 27609378104.39532 0.00000 128705045.71513 0.16960 127475490.15711 0.00000 2875625818217.82178 0.00000 0.00000 
13255.84815 2949244.67730 3091196480.36418 27581270931.84145 0.00000 128587768.45345 0.19320 127359333.25440 0.00000 2875625818217.82178 0.00000 0.00000 
13271.47315 0.00000 2913538593.42062 25974112790.87468 0.00000 121082023.70654 0.18227 119925293.00247 0.00000 2875625818217.82178 0.00000 0.00000 
14271.47315 2596640.53035 2908119966.45870 25946358222.46634 0.00000 120964746.44487 0.20441 119809136.10122 0.00000 2875625818217.82178 0.00000 0.00000 
14302.72315 0.00000 2733151582.18007 24365967772.11592 0.00000 113585426.81207 0.19259 112500313.18972 0.00000 2875625818217.82178 0.00000 0.00000 
15302.72315 2270273.40581 2726514156.08904 24324764458.10579 0.00000 113403934.90180 0.21319 112320555.10196 0.00000 2875625818217.82178 0.00000 0.00000 
15333.97315 0.00000 2589035543.56795 23081177431.48392 0.00000 107596193.77320 0.20289 106568296.96305 0.00000 2875625818217.82178 0.00000 0.00000 
16333.97315 2026878.49740 2582641512.38534 23040217512.38110 0.00000 107414701.86293 0.22233 106388538.87645 0.00000 2875625818217.82178 0.00000 0.00000 
16396.47315 0.00000 2444919504.95583 21796387090.85194 0.00000 101606960.73433 0.21148 100636280.73810 0.00000 2875625818217.82178 0.00000 0.00000 
17396.47315 1791487.19783 2434393712.38756 21716729522.42232 0.00000 101243976.91380 0.22936 100276764.58590 0.00000 2875625818217.82178 0.00000 0.00000 
17458.97315 0.00000 2296436313.65849 20472663709.59474 0.00000 95436235.78520 0.21730 94524506.44875 0.00000 2875625818217.82178 0.00000 0.00000 
18458.97315 1571543.79753 2286130464.49053 20393226084.56428 0.00000 95073251.96466 0.23396 94164990.29776 0.00000 2875625818217.82178 0.00000 0.00000 
18583.97315 0.00000 2175747140.93455 19396723204.79142 0.00000 90420585.98194 0.22459 89556772.54707 0.00000 2875625818217.82178 0.00000 0.00000 
19583.97315 1396374.96204 2160623135.11702 19272945395.46328 0.00000 89850087.50684 0.23969 88991724.18876 0.00000 2875625818217.82178 0.00000 0.00000 
19708.97315 0.00000 2052198463.23516 18295290295.34784 0.00000 85286099.70608 0.22948 84471337.45334 0.00000 2875625818217.82178 0.00000 0.00000 
20708.97315 1234867.62057 2037235964.75910 18171673993.36021 0.00000 84715601.23098 0.24351 83906289.09610 0.00000 2875625818217.82178 0.00000 0.00000 
