# t     dt     X_CO      X_C     X_O    X_solidC 	X_Mg    X_Si     X_SiO       X_Mg2SiO4    X_H    adap_flag     sat_Cg    lnsat_Sig
4.19725e+03 1.00000e+03 0.00000e+00 8.00000e-03 9.45614e-02 0.00000e+00 6.70000e-04 3.31610e-15 1.20863e-03 0.00000e+00 3.72000e-01 0 1.39882e-10 -5.60299e+01 
5.19725e+03 1.00000e+03 3.10342e-05 7.98669e-03 9.45436e-02 0.00000e+00 6.70000e-04 3.31611e-15 1.20863e-03 0.00000e+00 3.72000e-01 0 1.39882e-10 -5.60299e+01 
5.19921e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.48075e-02 0.00000e+00 6.70000e-04 3.60090e-15 1.20863e-03 0.00000e+00 3.72000e-01 1 1.63074e-10 -5.57313e+01 
6.19921e+03 1.00000e+03 2.90489e-05 7.98754e-03 9.47910e-02 0.00000e+00 6.70000e-04 1.49412e-13 1.20863e-03 0.00000e+00 3.72000e-01 1 1.53377e-10 -5.61020e+01 
6.20116e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.49771e-02 0.00000e+00 6.70000e-04 1.49696e-13 1.20863e-03 0.00000e+00 3.72000e-01 1 1.79465e-10 -5.57964e+01 
7.20116e+03 1.00000e+03 2.70489e-05 7.98840e-03 9.49616e-02 0.00000e+00 6.70000e-04 2.95026e-13 1.20863e-03 0.00000e+00 3.72000e-01 1 1.68055e-10 -5.61953e+01 
7.20507e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 2.95592e-13 1.20863e-03 0.00000e+00 3.72000e-01 1 1.97412e-10 -5.58818e+01 
8.20507e+03 1.00000e+03 2.50176e-05 7.98927e-03 9.49857e-02 0.00000e+00 6.70000e-04 4.40515e-13 1.20863e-03 0.00000e+00 3.72000e-01 1 1.83997e-10 -5.63141e+01 
8.20897e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 4.41080e-13 1.20863e-03 0.00000e+00 3.72000e-01 1 2.14431e-10 -5.60163e+01 
9.20897e+03 1.00000e+03 2.33315e-05 7.99000e-03 9.49867e-02 0.00000e+00 6.70000e-04 5.85650e-13 1.20863e-03 0.00000e+00 3.72000e-01 1 2.01471e-10 -5.64004e+01 
9.21679e+03 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 5.86777e-13 1.20863e-03 0.00000e+00 3.72000e-01 1 2.34290e-10 -5.61062e+01 
1.02168e+04 1.00000e+03 2.18130e-05 7.99065e-03 9.49875e-02 0.00000e+00 6.70000e-04 7.31038e-13 1.20863e-03 0.00000e+00 3.72000e-01 1 2.20834e-10 -5.64730e+01 
1.02246e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 7.32164e-13 1.20863e-03 0.00000e+00 3.72000e-01 1 2.57639e-10 -5.61733e+01 
1.12246e+04 1.00000e+03 2.03075e-05 7.99129e-03 9.49884e-02 0.00000e+00 6.70000e-04 8.76170e-13 1.20863e-03 0.00000e+00 3.72000e-01 1 2.41840e-10 -5.65646e+01 
1.12402e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 8.78417e-13 1.20863e-03 0.00000e+00 3.72000e-01 1 2.81555e-10 -5.62688e+01 
1.22402e+04 1.00000e+03 1.89314e-05 7.99188e-03 9.49892e-02 0.00000e+00 6.70000e-04 1.02220e-12 1.20863e-03 0.00000e+00 3.72000e-01 1 2.64973e-10 -5.66483e+01 
1.22558e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 1.02445e-12 1.20863e-03 0.00000e+00 3.72000e-01 1 3.06303e-10 -5.63674e+01 
1.32558e+04 1.00000e+03 1.77825e-05 7.99237e-03 9.49898e-02 0.00000e+00 6.70000e-04 1.16804e-12 1.20863e-03 0.00000e+00 3.72000e-01 1 2.90391e-10 -5.67026e+01 
1.32715e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 1.17028e-12 1.20863e-03 0.00000e+00 3.72000e-01 1 3.36724e-10 -5.64155e+01 
1.42715e+04 1.00000e+03 1.66432e-05 7.99286e-03 9.49905e-02 0.00000e+00 6.70000e-04 1.31371e-12 1.20863e-03 0.00000e+00 3.72000e-01 1 3.18124e-10 -5.67714e+01 
1.43027e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 1.31819e-12 1.20863e-03 0.00000e+00 3.72000e-01 1 3.69667e-10 -5.64801e+01 
1.53027e+04 1.00000e+03 1.55215e-05 7.99334e-03 9.49911e-02 0.00000e+00 6.70000e-04 1.46149e-12 1.20863e-03 0.00000e+00 3.72000e-01 1 3.48955e-10 -5.68489e+01 
1.53340e+04 1.00000e+03 2.80100e-199 8.00000e-03 9.50000e-02 0.00000e+00 6.70000e-04 1.46597e-12 1.20863e-03 0.00000e+00 3.72000e-01 1 4.01184e-10 -5.65807e+01 
1.63340e+04 1.00000e+03 1.46301e-05 7.99373e-03 9.49916e-02 0.00000e+00 6.70000e-04 1.60914e-12 1.20863e-03 0.00000e+00 3.72000e-01 1 3.82665e-10 -5.68871e+01 
