# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
50.00000 0.00000 44327616351.67764 65929715847.12847 0.00000 219962404.46189 -129582288.74855 227480461.87573 0.00000 0.00000 0.00000 
1050.00000 158692677.84873 44168923673.82891 65772175228.82722 0.00000 219962404.46189 0.00000 226328402.32826 0.00000 0.00000 0.00000 
2050.00000 0.00000 443276163516.77637 665565347834.23962 0.00000 2199624044.61888 0.20519 2263284023.07740 0.00000 0.00000 0.00000 
3050.00000 11081394646.80532 432194768869.97107 654483953187.62817 0.00000 2199624044.61888 0.39901 2263284022.88358 0.00000 0.00000 0.00000 
4050.00000 0.00000 443276163516.77637 665565347834.23962 0.00000 2199624044.61888 0.58247 2263284022.70012 0.00000 0.00000 0.00000 
5050.00000 10970928745.54027 432305234771.23615 654594419088.87256 0.00000 2199624044.61888 0.75559 2263284022.52701 0.00000 0.00000 0.00000 
6050.00000 0.00000 443276163516.77637 665565347834.23962 0.00000 2199624044.61888 0.91987 2263284022.36272 0.00000 0.00000 0.00000 
7050.00000 10965881453.26104 432310282063.51532 654599466381.13318 0.00000 2199624044.61888 1.07446 2263284022.20813 0.00000 0.00000 0.00000 
8050.00000 0.00000 443276163516.77637 665565347834.23962 0.00000 2199624044.61888 1.22189 2263284022.06070 0.00000 0.00000 0.00000 
9050.00000 10859285113.46865 432416878403.30768 654706062720.90942 0.00000 2199624044.61888 1.36031 2263284021.92229 0.00000 0.00000 0.00000 
10050.00000 0.00000 443276163516.77637 665565347834.23962 0.00000 2199624044.61888 1.49238 2263284021.79021 0.00000 0.00000 0.00000 
11050.00000 12356315686.53544 463444421603.48969 702043666261.27478 0.00000 2361017416.06713 1.72896 2429348326.93170 0.00000 0.00000 0.00000 
12050.00000 0.00000 497364249438.01526 746776923557.72241 0.00000 2468019830.61351 1.93019 2539447530.22297 0.00000 0.00000 0.00000 
13050.00000 13266780919.59201 484097468518.42328 733510142638.24463 0.00000 2468019830.61351 2.04443 2539447530.10873 0.00000 0.00000 0.00000 
14050.00000 0.00000 497364249438.01526 746776923557.72241 0.00000 2468019830.61351 2.15423 2539447529.99893 0.00000 0.00000 0.00000 
15050.00000 13104098971.59856 484260150466.41669 733672824586.22571 0.00000 2468019830.61351 2.25604 2539447529.89712 0.00000 0.00000 0.00000 
16050.00000 0.00000 497364249438.01526 746776923557.72241 0.00000 2468019830.61351 2.35450 2539447529.79866 0.00000 0.00000 0.00000 
17050.00000 12947548885.53230 484416700552.48297 733829374672.28113 0.00000 2468019830.61351 2.44544 2539447529.70771 0.00000 0.00000 0.00000 
18050.00000 0.00000 497364249438.01526 746776923557.72241 0.00000 2468019830.61351 2.53352 2539447529.61964 0.00000 0.00000 0.00000 
19050.00000 12947548885.53230 484416700552.48297 733829374672.27051 0.00000 2468019830.61351 2.61388 2539447529.53928 0.00000 0.00000 0.00000 
20050.00000 0.00000 497364249438.01526 746776923557.72241 0.00000 2468019830.61351 2.69221 2539447529.46095 0.00000 0.00000 0.00000 
21050.00000 12858173577.32602 484506075860.68921 733918749980.46802 0.00000 2468019830.61351 2.76388 2539447529.38928 0.00000 0.00000 0.00000 
22050.00000 0.00000 497364249438.01526 746776923557.72241 0.00000 2468019830.61351 2.83458 2539447529.31858 0.00000 0.00000 0.00000 
23050.00000 12799053050.05556 484565196387.95966 733977870507.73059 0.00000 2468019830.61351 2.89835 2539447529.25481 0.00000 0.00000 0.00000 
24050.00000 0.00000 519319563468.79987 779742143486.93726 0.00000 2576966443.63716 3.08605 2651547198.66766 0.00000 0.00000 0.00000 
25050.00000 14962859087.76910 533524652588.11359 808574049811.46301 0.00000 2721703574.77340 3.30710 2800473210.27022 0.00000 0.00000 0.00000 
26050.00000 0.00000 558052118891.01672 837897868616.78857 0.00000 2769165048.54369 3.41219 2849308280.67116 0.00000 0.00000 0.00000 
27050.00000 15184956749.75014 542867162141.26660 822712911867.07971 0.00000 2769165048.54369 3.45337 2849308280.62997 0.00000 0.00000 0.00000 
28050.00000 0.00000 558052118891.01672 837897868616.78857 0.00000 2769165048.54369 3.49613 2849308280.58722 0.00000 0.00000 0.00000 
29050.00000 15158593167.42548 542893525723.59125 822739275449.39917 0.00000 2769165048.54369 3.53220 2849308280.55115 0.00000 0.00000 0.00000 
30050.00000 0.00000 558052118891.01672 837897868616.78857 0.00000 2769165048.54369 3.57003 2849308280.51332 0.00000 0.00000 0.00000 
31050.00000 15125016030.68533 542927102860.33136 822772852586.13489 0.00000 2769165048.54369 3.60168 2849308280.48167 0.00000 0.00000 0.00000 
32050.00000 0.00000 558052118891.01672 837897868616.78857 0.00000 2769165048.54369 3.63604 2849308280.44731 0.00000 0.00000 0.00000 
33050.00000 14983224906.23931 543068893984.77740 822914643710.57788 0.00000 2769165048.54369 3.66470 2849308280.41864 0.00000 0.00000 0.00000 
34050.00000 0.00000 558052118891.01672 837897868616.78857 0.00000 2769165048.54369 3.69585 2849308280.38750 0.00000 0.00000 0.00000 
35050.00000 14978785515.75737 543411212360.73474 823426397870.04749 0.00000 2770841670.93350 3.72305 2851033426.38115 0.00000 0.00000 0.00000 
