# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
50.00000 0.00000 70924186162.68420 62936774813.77840 0.00000 294749621.97893 565.72303 291933230.47436 0.00000 392197758415.84161 0.00000 0.00000 
1050.00000 242381880.81427 70681804281.86993 62694392932.96413 0.00000 294749621.97893 565.72303 291933230.47436 0.00000 392197758415.84161 0.00000 0.00000 
1050.03052 0.00000 709241861626.84204 632287080442.52759 0.00000 2947496219.78930 5657.22132 2919332304.75261 0.00000 392197758415.84161 0.00000 0.00000 
1300.03052 4210929965.78602 705030931661.05603 628076150402.46362 0.00000 2947496219.78930 5582.94330 2919332379.03064 0.00000 392197758415.84161 0.00000 0.00000 
1300.04578 0.00000 709241861626.84204 632287080442.52759 0.00000 2947496219.78930 5582.93885 2919332379.03509 0.00000 392197758415.84161 0.00000 0.00000 
1550.04578 4210929965.78602 705030931661.05603 628076150403.44006 0.00000 2947496219.78930 5509.63734 2919332452.33659 0.00000 392197758415.84161 0.00000 0.00000 
1550.06104 0.00000 709241861626.84204 632287080442.52759 0.00000 2947496219.78930 5509.63296 2919332452.34098 0.00000 392197758415.84161 0.00000 0.00000 
1800.06104 4210929965.78602 705030931661.05603 628076150404.40381 0.00000 2947496219.78930 5437.29513 2919332524.67881 0.00000 392197758415.84161 0.00000 0.00000 
1800.07630 0.00000 709241861626.84204 632287080442.52759 0.00000 2947496219.78930 5437.29080 2919332524.68314 0.00000 392197758415.84161 0.00000 0.00000 
2050.07630 4210929965.78602 705030931661.05603 628076150405.35486 0.00000 2947496219.78930 5365.90398 2919332596.06996 0.00000 392197758415.84161 0.00000 0.00000 
2050.09156 0.00000 709241861626.84204 632287080442.52759 0.00000 2947496219.78930 5365.89971 2919332596.07423 0.00000 392197758415.84161 0.00000 0.00000 
2300.09156 4210929965.78602 705030931661.05603 628076150406.29333 0.00000 2947496219.78930 5295.45139 2919332666.52254 0.00000 392197758415.84161 0.00000 0.00000 
2300.10681 0.00000 709241861626.84204 632287080442.52759 0.00000 2947496219.78930 5295.44718 2919332666.52676 0.00000 392197758415.84161 0.00000 0.00000 
2550.10681 4210929965.78602 705030931661.05603 628076150407.21948 0.00000 2947496219.78930 5225.92503 2919332736.04890 0.00000 392197758415.84161 0.00000 0.00000 
2550.12207 0.00000 709241861626.84204 632287080442.52759 0.00000 2947496219.78930 5225.92087 2919332736.05306 0.00000 392197758415.84161 0.00000 0.00000 
2800.12207 4210929965.78602 705030931661.05603 628076150408.13342 0.00000 2947496219.78930 5157.31272 2919332804.66122 0.00000 392197758415.84161 0.00000 0.00000 
2800.13733 0.00000 709241861626.84204 632287080442.52759 0.00000 2947496219.78930 5157.30861 2919332804.66532 0.00000 392197758415.84161 0.00000 0.00000 
3050.13733 4210929965.78602 705030931661.05603 628076150409.03540 0.00000 2947496219.78930 5089.60244 2919332872.37150 0.00000 392197758415.84161 0.00000 0.00000 
3050.15259 0.00000 709241861626.84204 632287080442.52759 0.00000 2947496219.78930 5089.59839 2919332872.37555 0.00000 392197758415.84161 0.00000 0.00000 
3300.15259 4210929965.78602 705030931661.05603 628076150409.92554 0.00000 2947496219.78930 5022.78233 2919332939.19161 0.00000 392197758415.84161 0.00000 0.00000 
3300.16785 0.00000 709241861626.84204 632287080442.52759 0.00000 2947496219.78930 5022.77833 2919332939.19561 0.00000 392197758415.84161 0.00000 0.00000 
3550.16785 4210929965.78602 705030931661.05603 628076150410.80396 0.00000 2947496219.78930 4956.84069 2919333005.13325 0.00000 392197758415.84161 0.00000 0.00000 
3550.18311 447750847.04923 708794110779.79285 631839329529.53674 0.00000 2947496219.78930 4956.83676 2919333005.13717 0.00000 392197758415.84161 0.00000 0.00000 
