# t     dt     X_CO      X_C     X_O    X_solidC   	X_Mg      X_Si     X_SiO       X_Mg2SiO4    X_H    adap_flag     sat_Cg    lnsat_Sig
5.00000e+01 1.00000e+03 0.00000e+00 4.00000e-02 9.45614e-02 0.00000e+00 6.70000e-04 1.49214e-09 1.20862e-03 0.00000e+00 7.44000e-02 0 3.54927e-14 -7.03974e+01 
1.05000e+03 1.00000e+03 3.18786e-04 3.98633e-02 9.43793e-02 0.00000e+00 6.70000e-04 1.49214e-09 1.20862e-03 0.00000e+00 7.44000e-02 0 3.54927e-14 -7.03974e+01 
1.05003e+03 1.00000e+03 2.80100e-199 4.00000e-02 9.48532e-02 0.00000e+00 6.70000e-04 1.49214e-09 1.20862e-03 0.00000e+00 7.44000e-02 1 2.88794e-10 -5.64539e+01 
1.55003e+03 1.00000e+03 1.10595e-03 3.95258e-02 9.42215e-02 0.00000e+00 6.70000e-04 1.45302e-09 1.20862e-03 0.00000e+00 7.44000e-02 1 2.89785e-09 -4.26234e+01 
1.55004e+03 1.00000e+03 3.86305e-04 3.98343e-02 9.46325e-02 0.00000e+00 6.70000e-04 1.45302e-09 1.20862e-03 0.00000e+00 7.44000e-02 1 2.86349e-09 -4.26434e+01 
1.55007e+03 1.00000e+03 2.80100e-199 4.00000e-02 9.50000e-02 0.00000e+00 6.70000e-04 1.45301e-09 1.20862e-03 0.00000e+00 7.44000e-02 1 2.88585e-09 -4.26303e+01 
2.05007e+03 1.00000e+03 1.10766e-03 3.95250e-02 9.43673e-02 0.00000e+00 6.70000e-04 1.41486e-09 1.20862e-03 0.00000e+00 7.44000e-02 1 2.89785e-09 -4.26187e+01 
2.05008e+03 1.00000e+03 3.86903e-04 3.98341e-02 9.47790e-02 0.00000e+00 6.70000e-04 1.41486e-09 1.20862e-03 0.00000e+00 7.44000e-02 1 2.86344e-09 -4.26388e+01 
2.05011e+03 1.00000e+03 2.80100e-199 4.00000e-02 9.50000e-02 0.00000e+00 6.70000e-04 1.41486e-09 1.20862e-03 0.00000e+00 7.44000e-02 1 2.88583e-09 -4.26257e+01 
2.55011e+03 1.00000e+03 1.10766e-03 3.95250e-02 9.43673e-02 0.00000e+00 6.70000e-04 1.37771e-09 1.20862e-03 0.00000e+00 7.44000e-02 1 2.89785e-09 -4.26187e+01 
2.55011e+03 1.00000e+03 3.86903e-04 3.98341e-02 9.47790e-02 0.00000e+00 6.70000e-04 1.37771e-09 1.20862e-03 0.00000e+00 7.44000e-02 1 2.86344e-09 -4.26388e+01 
2.55014e+03 1.00000e+03 2.80100e-199 4.00000e-02 9.50000e-02 0.00000e+00 6.70000e-04 1.37770e-09 1.20862e-03 0.00000e+00 7.44000e-02 1 2.88583e-09 -4.26257e+01 
